encoded_destination_id,destination_movement_id,destination_display_name
0,1315,609692 (1315)
1,1320,609694 (1320)
2,1369,609624 (1369)
3,1517,609682 (1517)
4,1540,609691 (1540)
5,1597,609683 (1597)
6,1643,609671 (1643)
7,1673,609595 (1673)
8,1680,609631 (1680)
9,1682,609636 (1682)
10,1688,609638 (1688)
11,1695,609601 (1695)
12,1703,609604 (1703)
13,1704,609606 (1704)
14,1715,609605 (1715)
15,1723,609625 (1723)
16,1741,709812 (1741)
17,1749,709814 (1749)
18,1757,709815 (1757)
19,1762,609464 (1762)
20,1772,709763 (1772)
21,1774,609452 (1774)
22,1786,609332 (1786)
23,1789,709764 (1789)
24,1801,709768 (1801)
25,1806,609451 (1806)
26,1809,709782 (1809)
27,1816,709783 (1816)
28,1824,709787 (1824)
29,1825,609461 (1825)
30,1847,709788 (1847)
31,1849,709736 (1849)
32,1860,609342 (1860)
33,1862,709712 (1862)
34,1863,709738 (1863)
35,1864,709739 (1864)
36,1865,709721 (1865)
37,1877,609470 (1877)
38,1915,709713 (1915)
39,1919,609434 (1919)
40,1938,609334 (1938)
41,1951,609350 (1951)
42,1985,609322 (1985)
43,1987,709716 (1987)
44,2006,709717 (2006)
45,2017,609281 (2017)
46,2019,609291 (2019)
47,2020,609301 (2020)
48,2022,609292 (2022)
49,2042,609303 (2042)
50,2044,609270 (2044)
51,2048,609310 (2048)
52,2054,609261 (2054)
53,2074,609250 (2074)
54,2076,609263 (2076)
55,2081,609241 (2081)
56,2092,609242 (2092)
57,2116,609152 (2116)
58,2117,609141 (2117)
59,2125,609142 (2125)
60,2142,609111 (2142)
61,2155,609102 (2155)
62,2158,609082 (2158)
63,2167,609070 (2167)
64,2171,609071 (2171)
65,2178,910582 (2178)
66,2189,507883 (2189)
67,2194,507892 (2194)
68,2213,507953 (2213)
69,2233,507871 (2233)
70,2249,910617 (2249)
71,2266,910615 (2266)
72,2273,910601 (2273)
73,2282,507954 (2282)
74,2315,507961 (2315)
75,2316,507861 (2316)
76,2318,910641 (2318)
77,2319,910613 (2319)
78,2320,507955 (2320)
79,2335,508720 (2335)
80,2336,910623 (2336)
81,2341,508713 (2341)
82,2342,508750 (2342)
83,2346,508811 (2346)
84,2355,507862 (2355)
85,2356,508812 (2356)
86,2380,507840 (2380)
87,2387,508831 (2387)
88,2398,910634 (2398)
89,2401,507971 (2401)
90,2414,507994 (2414)
91,2436,507833 (2436)
92,2441,910631 (2441)
93,2458,507991 (2458)
94,2462,507790 (2462)
95,2471,507784 (2471)
96,2475,507984 (2475)
97,2478,910791 (2478)
98,2492,507763 (2492)
99,2501,507751 (2501)
100,2508,910780 (2508)
101,2513,507981 (2513)
102,2543,508002 (2543)
103,2558,507996 (2558)
104,2559,507995 (2559)
105,2565,508092 (2565)
106,2576,507761 (2576)
107,2582,507740 (2582)
108,2584,507997 (2584)
109,2600,910771 (2600)
110,2614,508081 (2614)
111,2616,910793 (2616)
112,2626,910794 (2626)
113,2627,507998 (2627)
114,2628,508071 (2628)
115,2629,910812 (2629)
116,2634,508070 (2634)
117,2638,910814 (2638)
118,2667,508261 (2667)
119,2669,507712 (2669)
120,2677,507681 (2677)
121,2687,507714 (2687)
122,2713,507711 (2713)
123,2718,910842 (2718)
124,2720,910811 (2720)
125,2722,507713 (2722)
